np_type	FBbt_id	FBbt_name	pub	comment	notes	notes_2
M_lvPNm35	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm36	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm37	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm38	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm39	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm40	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm41	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm42	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm43	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm44	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm45	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm46	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm47	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_lvPNm48	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_smPN6t2	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_smPNm1	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_spPN4t9	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_spPN5t10	FBbt:00007441	adult multiglomerular antennal lobe projection neuron			specificity	
M_vPNml50	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml51	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml52	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml53	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml54	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml55	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml56	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml57	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml58	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml59	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml60	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml61	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml62	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml63	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml64	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml65	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml66	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml67	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml68	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml69	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml70	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml71	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml72	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml73	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml74	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml75	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml76	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml77	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
M_vPNml78	FBbt:00007414	adult multiglomerular antennal lobe projection neuron vPN			specificity	
