ID	CLASS_TYPE	RDF_Type	Symbol	ref1	Synonym_gr	ref2	Synonym_en	ref3
FBbt:00049422	subclass	owl:Class	LHPV6c1		LHPV6c1			
FBbt:00049137	subclass	owl:Class	LNOa	FlyBase:FBrf0240744	LNOa	FlyBase:FBrf0240744		
FBbt:00004045	subclass	owl:Class	LNd					
FBbt:00111767	subclass	owl:Class	LPC1		LPC1			
FBbt:00111766	subclass	owl:Class	LPC2		LPC2			
FBbt:00111762	subclass	owl:Class	LPLC1		LPLC1			
FBbt:00111763	subclass	owl:Class	LPLC2		LPLC2			
FBbt:00111765	subclass	owl:Class	LPLC4		LPLC4			
FBbt:00007432	subclass	owl:Class	LPN					
FBbt:00111288	subclass	owl:Class	LPi4-3					
FBbt:00111382	subclass	owl:Class	LPsP	FlyBase:FBrf0240744	LPsP	FlyBase:FBrf0240744		
FBbt:00003860	subclass	owl:Class	LT1					
FBbt:00100487	subclass	owl:Class	LT11					
FBbt:00049516	subclass	owl:Class	LT33					
FBbt:00100226	subclass	owl:Class	MB-C1	FlyBase:FBrf0227179				
FBbt:00110102	subclass	owl:Class	MBON-α'2	FlyBase:FBrf0227179	MBON-α'2	FlyBase:FBrf0227179	MBON-alpha'2	FlyBase:FBrf0227179
FBbt:00111006	subclass	owl:Class	MBON-γ3	FlyBase:FBrf0227179	MBON-γ3	FlyBase:FBrf0227179		
FBbt:00100234	subclass	owl:Class	MBON01					
FBbt:00111012	subclass	owl:Class	MBON02					
FBbt:00100232	subclass	owl:Class	MBON03					
FBbt:00111014	subclass	owl:Class	MBON04					
FBbt:00111004	subclass	owl:Class	MBON05					
FBbt:00100242	subclass	owl:Class	MBON06					
FBbt:00111005	subclass	owl:Class	MBON07					
FBbt:00111007	subclass	owl:Class	MBON09					
FBbt:00111008	subclass	owl:Class	MBON10					
FBbt:00100246	subclass	owl:Class	MBON11					
FBbt:00111009	subclass	owl:Class	MBON12					
FBbt:00100239	subclass	owl:Class	MBON13					
FBbt:00100238	subclass	owl:Class	MBON14					
FBbt:00111010	subclass	owl:Class	MBON15					
FBbt:00111063	subclass	owl:Class	MBON16					
FBbt:00111064	subclass	owl:Class	MBON17					
FBbt:00110101	subclass	owl:Class	MBON18					
FBbt:00111011	subclass	owl:Class	MBON19					
FBbt:00111013	subclass	owl:Class	MBON20					
FBbt:00111046	subclass	owl:Class	MBON21					
FBbt:00100240	subclass	owl:Class	MBON22					
FBbt:00111641	subclass	owl:Class	MC61		MC61			
FBbt:00111768	subclass	owl:Class	MC62		MC62			
FBbt:00111308	subclass	owl:Class	MDN		MDN			
FBbt:00048114	subclass	owl:Class	NPFL1-I		NPFL1-I			
FBbt:00048120	subclass	owl:Class	NPFP1		NPFP1			
FBbt:00110168	subclass	owl:Class	OA-ASM1					
FBbt:00110169	subclass	owl:Class	OA-ASM2					
FBbt:00110170	subclass	owl:Class	OA-ASM3					
FBbt:00110151	subclass	owl:Class	OA-VPM3	FlyBase:FBrf0227179				
FBbt:00110152	subclass	owl:Class	OA-VPM4	FlyBase:FBrf0227179				
FBbt:00110156	subclass	owl:Class	OA-VUMa1					
FBbt:00110157	subclass	owl:Class	OA-VUMa2					
FBbt:00047934	subclass	owl:Class	OA-VUMa5					
FBbt:00047935	subclass	owl:Class	OA-VUMa6					
FBbt:00047936	subclass	owl:Class	OA-VUMa7					
FBbt:00067034	subclass	owl:Class	ORN_D		ORN_D			
FBbt:00067031	subclass	owl:Class	ORN_DA1		ORN_DA1			
